Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Germany,DEU,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.45553654,15.07046002,16.78981859,16.88486219,16.33754262,17.22153843,17.29432824,17.20601607,17.82123208,18.07932562,15.80791214,15.74446289,16.38465059,15.49963156,
Germany,DEU,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,11416000000,12651000000,13244000000,14578000000,16230000000,17913000000,20157000000,21761000000,24888000000,28852000000,34228000000,38845000000,46737000000,67563000000,89368000000,90176000000,1.02162E+11,1.18072E+11,1.42453E+11,1.71804E+11,1.9286E+11,1.76047E+11,1.76424E+11,1.69417E+11,1.71735E+11,1.83933E+11,2.43326E+11,2.94369E+11,3.23323E+11,3.41231E+11,4.211E+11,4.02843E+11,4.30042E+11,3.80096E+11,4.26935E+11,5.23461E+11,5.24649E+11,5.12891E+11,5.43752E+11,5.43539E+11,5.5181E+11,5.71645E+11,6.15831E+11,7.5156E+11,9.09887E+11,9.70914E+11,1.10811E+12,1.32121E+12,1.44617E+12,1.12004E+12,1.25892E+12,1.47399E+12,1.40111E+12,1.44507E+12,1.49421E+12,1.32621E+12,1.33436E+12,1.44819E+12,1.56054E+12,1.48941E+12,1.38065E+12,
Germany,DEU,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,,,,,,,,,,,,34.26420775,31.81423704,29.1028781,32.37790485,34.33964954,30.23357409,29.35156249,29.13250815,28.34917851,29.61224308,31.15717291,34.92615809,33.72417778,31.58729675,31.53704193,30.37554026,30.40371848,30.71118882,32.33487824,31.63667315,30.79820798,32.14498793,31.7255863,30.851863,32.49200695,33.00947747,35.46630069,36.40423134,37.57649624,38.61362705,41.1571981,38.95231216,37.49750878,36.89020343,37.39183091,37.79164558,36.69167616,36.17468244,38.92744564,38.98720854,40.01959582,41.58085193,43.28944119,44.07794305,46.71478383,48.62745741,49.50093461,49.26193761,50.49631088,59.75692557,
Germany,DEU,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,,,36.51909242,37.26414434,37.77685039,39.17551236,41.98463355,41.51369715,47.1299931,49.95984153,50.95585011,61.02637262,52.96919614,50.27561325,43.7484782,47.31744613,47.0184159,52.62445656,56.95664714,55.2565772,52.38393079,52.2649719,52.64947023,55.1261018,55.55643933,56.91054929,64.66353452,67.62667533,69.10895842,69.65965387,71.58332905,73.65708495,73.80623772,69.48890884,70.92779053,69.97283414,69.92674364,68.85445429,72.9999633,73.19890354,67.39928888,73.9966114,74.6011912,70.44086165,69.30679601,71.60894534,69.89004941,66.7291779,68.69327233,70.82470351,70.52122357,68.26356987,67.69310148,67.70636523,69.82039903,72.72299692,74.09886831,73.82999084,72.94187831,73.76145479,75.23848143,61.79774148
Germany,DEU,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.41,3.37,2.45,2.52,2.24,2.46,2.3,2.24,1.72,1.85,2.13,1.59,1.46,1.49,2.03,2.02,2.09,1.96,1.83,1.84,1.48,
Germany,DEU,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,29.73288613,29.25694892,29.05755568,30.73845011,35.71249847,33.65159221,36.6678917,36.55797571,35.6809872,37.60728586,40.07846623,42.47343773,42.71916882,41.8191976,44.78720425,46.74466787,41.50003435,40.27265621,40.9489291,43.67028023,43.84481708,42.41702759,39.34472395,34.89106838,36.65740718,38.18299751,39.39329762,43.33754507,45.34301845,46.36042683,53.85095986,54.36164594,53.2173317,54.21130896,57.76206815,61.40043467,67.27847697,69.36630065,70.25507239,59.98919087,68.05776689,72.78273515,72.46558654,70.33844152,69.4611048,70.80498307,68.86979594,70.74518335,71.5284123,70.04015218,66.32380309,
Germany,DEU,Rural population growth (annual %),SP.RUR.TOTL.ZG,,-0.329967169,0.649511377,0.698973225,0.574162652,0.625246164,0.606096482,0.228217816,0.21520405,0.562945042,0.10569313,-0.025933985,0.272252734,0.108292057,-0.168112029,-0.580357623,-0.63670795,-0.434750813,-0.292177256,-0.165029013,-0.002248324,-0.383074394,-0.532931208,-0.247279403,0.247431305,0.630305906,0.389637308,-0.649363415,-0.211186141,0.858482078,0.335124557,0.165309318,0.419335734,0.141800163,-0.460071969,-0.515756838,-0.522928221,-0.664944089,-0.802753303,-0.752086269,-0.688009709,-0.654000976,-0.65684916,-0.772385227,-0.852240951,-0.890098299,-0.944725877,-0.972624936,-1.02760728,-1.093614698,-0.99621059,-2.699515016,0.143933886,0.229090401,0.373045523,0.82185231,0.701902386,0.211141646,0.075989818,-0.056965671,-0.25923313,
Germany,DEU,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,31.97819959,32.49453324,33.23857433,34.09119589,34.86458144,35.45930438,36.16659736,36.63946923,36.91071044,37.02685348,36.98182477,36.83573318,36.39876502,35.73785586,34.95581955,34.1135959,32.87688983,31.82586497,30.80136114,29.61423374,28.23397429,27.19971523,25.93984123,24.65368472,23.61086515,22.93270912,22.59389561,22.51911787,22.66132757,22.87633721,23.06528472,23.32238079,23.5124042,23.64293473,23.74313291,23.81699022,23.65296926,23.5555772,23.46962509,23.32665395,23.10250197,22.91868899,22.60814299,22.23581659,21.89150986,21.60926694,21.30948543,21.08736837,20.92527818,20.77006828,20.59595667,20.5354471,20.42154758,20.28083814,20.17561629,20.15868995,20.36103352,20.63690978,20.98222197,21.34903854,21.68467396,
Germany,DEU,"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,3.75116561,3.795432998,3.864020178,3.953061848,4.062934559,4.194919785,4.307507275,4.444094547,4.584832345,4.701441876,4.780377495,4.786724856,4.764186158,4.725126361,4.681519352,4.636346869,4.568636927,4.505418634,4.424384771,4.286572609,4.072900538,3.748285344,3.349831005,2.959667905,2.697458981,2.627679584,2.698148021,2.9268181,3.245347812,3.563871229,3.83449325,4.035248629,4.212873548,4.364804438,4.485041758,4.571911451,4.619790091,4.616057222,4.611079032,4.678188242,4.853926313,5.093676411,5.438259237,5.812534846,6.104662923,6.252009011,6.263156539,6.148454099,5.954161173,5.752326454,5.587252057,5.414193654,5.268475148,5.159924797,5.101746156,5.101669686,5.104096497,5.168408398,5.276144702,5.402006807,5.531886043,
Germany,DEU,"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,7.482634561,7.785619724,8.189054348,8.602427205,8.888587365,8.970491395,8.887863869,8.642810547,8.30051389,7.960597814,7.681298853,7.393330032,7.153779178,6.97358278,6.860159607,6.816337928,6.834981979,6.928484719,7.081015959,7.26512004,7.461324331,7.634424932,7.815858183,8.006121994,8.210129607,8.428262894,8.63941585,8.857345418,9.061534051,9.224256057,9.32382383,9.348657653,9.329999784,9.248642253,9.072815525,8.787702003,8.364600262,7.834794774,7.272646139,6.779249307,6.411406393,6.131420706,5.979662327,5.9347565,5.947508442,5.979607343,5.990244097,6.032829155,6.104072626,6.194233316,6.287734913,6.380260881,6.461356344,6.520291938,6.543709258,6.524016561,6.473790886,6.377197058,6.257814542,6.154030214,6.088959386,
